jobCardNumber,name,fatherOrHusbandName,phone,aadhaarNumber,bankAccountNumber,bankName,ifscCode,address,email,totalBilled,totalPaid,remainingBalance
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
123,MANMOHAN SINGH,grfcd,09934571673,3425657879,456787,gvb,23ewqdae44,vill batsara gp kajri ps pandwa dist palamu state jharkhand,ramanthsinghdto8700@gmail.com,1000,100,800
